,v_563035_10,t,q_563035_10,v_563046_10,q_563046_10,v_563079_10,q_563079_10,v_568045_10,q_568045_10,v_568051_10,q_568051_10
0,1.50,20080130000000,4,4.50,4,0.00,100,0.50,4,2.00,4
1,4.50,20080131000000,4,1.50,4,15.50,100,2.50,4,15.00,4
2,3.00,20080201000000,4,9.50,4,9.00,100,0.00,4,2.00,4
3,0.00,20080202000000,4,0.50,4,0.50,100,0.00,4,0.00,4
4,17.00,20080203000000,4,13.50,4,58.00,100,29.50,4,13.50,4
5,55.50,20080204000000,4,58.00,4,216.50,100,86.50,4,117.50,4
6,2.00,20080205000000,4,2.50,4,2.50,100,18.00,4,3.50,4
7,18.50,20080206000000,4,8.50,4,184.50,100,53.50,4,30.50,4
8,15.00,20080207000000,4,22.00,4,83.50,100,14.00,4,8.50,4
9,7.00,20080208000000,4,10.00,4,36.50,100,5.00,4,8.00,4
10,29.00,20080209000000,4,27.00,4,78.50,100,10.50,4,18.50,4
11,0.00,20080210000000,4,0.50,4,0.50,100,0.50,4,0.00,4
12,0.00,20080211000000,4,0.00,4,0.00,100,0.00,4,0.00,4
13,0.00,20080212000000,4,0.00,4,2.50,100,1.00,4,3.00,4
14,0.00,20080213000000,4,0.00,4,0.00,100,0.00,4,0.00,4
15,0.00,20080214000000,4,0.00,4,0.00,100,0.00,4,0.00,4
16,0.00,20080215000000,4,0.50,4,1.50,100,0.00,4,0.00,4
17,0.00,20080216000000,4,0.00,4,0.00,100,0.00,4,0.00,4
18,0.50,20080217000000,4,0.00,4,0.50,100,0.00,4,0.50,4
19,0.50,20080218000000,4,0.00,4,0.50,100,0.50,4,0.50,4
20,0.00,20080219000000,4,1.00,4,3.50,100,0.00,4,1.00,4
21,0.00,20080220000000,4,0.00,4,0.00,100,0.00,4,0.00,4
22,2.00,20080221000000,4,1.00,4,9.50,100,0.50,4,0.00,4
23,0.50,20080222000000,4,0.00,4,0.00,100,0.00,4,0.00,4
24,0.00,20080223000000,4,0.00,4,0.00,100,0.00,4,0.00,4
25,0.00,20080224000000,4,0.00,4,0.00,100,0.00,4,0.00,4
26,0.00,20080225000000,4,0.00,4,0.00,100,0.00,4,0.00,4
27,25.00,20080226000000,4,0.00,4,17.00,100,1.50,4,14.00,4
28,15.00,20080227000000,4,9.00,4,5.00,100,8.00,4,3.50,4
29,32.50,20080228000000,4,19.00,4,61.50,100,15.00,4,18.00,4
30,0.50,20080229000000,4,0.00,4,0.00,100,0.50,4,0.00,4
31,0.00,20080301000000,4,0.00,4,0.00,100,0.00,4,0.00,4
32,0.00,20080302000000,4,0.00,4,0.00,100,0.00,4,0.00,4
33,0.00,20080303000000,4,0.00,4,0.00,100,0.00,4,0.00,4
34,0.00,20080304000000,4,0.00,4,0.00,100,0.00,4,0.00,4
35,0.00,20080305000000,4,0.00,4,0.00,100,0.00,4,0.00,4
36,0.00,20080306000000,4,0.00,4,0.50,100,0.00,4,0.00,4
37,11.50,20080307000000,4,14.00,4,46.50,100,15.50,4,9.50,4
38,0.00,20080308000000,4,0.00,4,4.00,100,0.00,4,0.00,4
39,0.00,20080309000000,4,0.00,4,0.00,100,0.00,4,0.00,4
40,0.00,20080310000000,4,0.00,4,0.00,100,0.00,4,0.00,4
41,0.00,20080311000000,4,0.00,4,0.00,100,0.00,4,0.00,4
42,0.50,20080312000000,4,5.50,4,10.50,100,0.00,4,0.00,4
43,0.00,20080313000000,4,0.00,4,0.50,100,0.00,4,0.00,4
44,0.00,20080314000000,4,0.50,4,0.00,100,0.00,4,0.00,4
45,0.00,20080315000000,4,0.00,4,0.00,100,0.00,4,0.00,4
46,0.00,20080316000000,4,0.00,4,0.00,100,0.00,4,0.00,4
47,0.00,20080317000000,4,0.00,4,0.00,100,0.00,4,0.00,4
48,0.00,20080318000000,4,1.00,4,0.00,100,0.00,4,0.00,4
