,v,t,q
0,-13.594,20080130000000,255
1,-13.588,20080131000000,4
2,-13.573,20080201000000,4
3,-13.564,20080202000000,4
4,-13.545,20080203000000,4
5,-13.491,20080204000000,4
6,-13.322,20080205000000,4
7,-13.219,20080206000000,4
8,-13.117,20080207000000,4
9,-13.013,20080208000000,4
10,-12.863,20080209000000,4
11,-12.705,20080210000000,4
12,-12.622,20080211000000,4
13,-12.569,20080212000000,4
14,-12.531,20080213000000,4
15,-12.506,20080214000000,4
16,-12.487,20080215000000,4
17,-12.477,20080216000000,4
18,-12.471,20080217000000,4
19,-12.459,20080218000000,4
20,-12.450,20080219000000,4
21,-12.447,20080220000000,4
22,-12.439,20080221000000,4
23,-12.433,20080222000000,4
24,-12.437,20080223000000,4
25,-12.441,20080224000000,4
26,-12.447,20080225000000,4
27,-12.449,20080226000000,4
28,-12.409,20080227000000,4
29,-12.395,20080228000000,4
30,-12.377,20080229000000,4
31,-12.364,20080301000000,4
32,-12.357,20080302000000,4
33,-12.354,20080303000000,4
34,-12.350,20080304000000,4
35,-12.353,20080305000000,4
36,-12.354,20080306000000,4
37,-12.356,20080307000000,4
38,-12.348,20080308000000,4
39,-12.348,20080309000000,4
40,-12.357,20080310000000,4
41,-12.364,20080311000000,4
42,-12.370,20080312000000,4
43,-12.374,20080313000000,4
44,-12.377,20080314000000,4
45,-12.382,20080315000000,4
46,-12.388,20080316000000,4
47,-12.401,20080317000000,4
48,-12.400,20080318000000,4
49,-12.404,20080319000000,4
50,-12.408,20080320000000,4
51,-12.418,20080321000000,4
52,-12.412,20080322000000,4
53,-12.415,20080323000000,4
54,-12.415,20080324000000,4
55,-12.397,20080325000000,4
56,-12.387,20080326000000,4
57,-12.388,20080327000000,4
58,-12.386,20080328000000,4
59,-12.381,20080329000000,4
60,-12.381,20080330000000,4
61,-12.385,20080331000000,4
62,-12.385,20080401000000,4
63,-12.388,20080402000000,4
64,-12.383,20080403000000,4
65,-12.392,20080404000000,4
66,-12.399,20080405000000,4
67,-12.406,20080406000000,4
68,-12.406,20080407000000,4
69,-12.393,20080408000000,4
70,-12.389,20080409000000,4
71,-12.383,20080410000000,4
72,-12.382,20080411000000,4
73,-12.382,20080412000000,4
74,-12.384,20080413000000,4
75,-12.386,20080414000000,4
76,-12.388,20080415000000,4
77,-12.394,20080416000000,4
78,-12.387,20080417000000,4
79,-12.388,20080418000000,4
80,-12.390,20080419000000,4
81,-12.386,20080420000000,4
82,-12.377,20080421000000,4
83,-12.370,20080422000000,4
84,-12.367,20080423000000,4
85,-12.350,20080424000000,4
86,-12.332,20080425000000,4
87,-12.312,20080426000000,4
88,-12.306,20080427000000,4
89,-12.301,20080428000000,4
90,-12.305,20080429000000,4
91,-12.294,20080430000000,4
92,-12.297,20080501000000,4
93,-12.288,20080502000000,4
94,-12.291,20080503000000,4
95,-12.289,20080504000000,4
96,-12.292,20080505000000,4
97,-12.298,20080506000000,4
98,-12.290,20080507000000,4
99,-12.292,20080508000000,4
100,-12.293,20080509000000,4
101,-12.294,20080510000000,4
102,-12.298,20080511000000,4
103,-12.298,20080512000000,4
104,-12.295,20080513000000,4
105,-12.293,20080514000000,4
106,-12.290,20080515000000,4
107,-12.293,20080516000000,4
108,-12.299,20080517000000,4
109,-12.293,20080518000000,4
110,-12.299,20080519000000,4
111,-12.298,20080520000000,4
112,-12.304,20080521000000,4
113,-12.309,20080522000000,4
114,-12.313,20080523000000,4
115,-12.320,20080524000000,4
116,-12.322,20080525000000,4
117,-12.326,20080526000000,4
118,-12.324,20080527000000,4
119,-12.322,20080528000000,4
120,-12.323,20080529000000,4
121,-12.328,20080530000000,4
122,-12.334,20080531000000,4
123,-12.340,20080601000000,4
124,-12.332,20080602000000,4
125,-12.316,20080603000000,4
126,-12.286,20080604000000,4
127,-12.243,20080605000000,4
128,-12.223,20080606000000,4
129,-12.205,20080607000000,4
130,-12.196,20080608000000,4
131,-12.183,20080609000000,4
132,-12.164,20080610000000,4
